,image-filename,percent-price-change,missing-values,image-for-training,label
0,A_1999-12-31.png,-0.3843480888351714,1,1,overvalued
1,A_2000-03-31.png,-0.4774906916393997,1,1,overvalued
2,A_2000-06-30.png,0.3386503067484662,1,1,undervalued
3,A_2000-09-30.png,-0.1576333405312028,0,0,overvalued
4,A_2000-12-31.png,-0.4755270394133822,0,1,overvalued
5,A_2001-03-31.png,-0.4291207382722378,0,1,overvalued
6,A_2001-06-30.png,0.0608178958406152,0,1,neutral
7,A_2001-09-30.png,0.3493488998652896,0,0,undervalued
8,A_2001-12-31.png,-0.3779242174629325,0,1,overvalued
9,A_2002-03-31.png,-0.5424292845257903,0,1,overvalued
10,A_2002-06-30.png,-0.1271186440677965,0,1,overvalued
11,A_2002-09-30.png,0.165090909090909,0,1,neutral
12,A_2002-12-31.png,0.3185679611650485,0,0,undervalued
13,A_2003-03-31.png,0.5555555555555557,0,1,undervalued
14,A_2003-06-30.png,0.6962724344224573,0,1,undervalued
15,A_2003-09-30.png,0.083868378812199,0,1,neutral
16,A_2003-12-31.png,-0.3540423223005969,0,1,overvalued
17,A_2004-03-31.png,-0.0721954831543873,0,1,overvalued
18,A_2004-06-30.png,-0.0713985720285594,0,1,overvalued
19,A_2004-09-30.png,-0.1719872306464484,0,1,overvalued
20,A_2004-12-31.png,0.1867933061962912,0,1,neutral
21,A_2005-03-31.png,0.5426506024096385,0,0,undervalued
22,A_2005-06-30.png,0.2923018292682926,0,1,undervalued
23,A_2005-09-30.png,0.2002499218994065,0,1,neutral
24,A_2005-12-31.png,-0.161309348274845,0,1,overvalued
25,A_2006-03-31.png,-0.0733992712129099,0,1,overvalued
26,A_2006-06-30.png,0.1251758087201124,0,1,neutral
27,A_2006-09-30.png,-0.0345505617977529,0,1,neutral
28,A_2006-12-31.png,0.1921874999999999,0,1,neutral
29,A_2007-03-31.png,0.0721559499563574,0,0,neutral
30,A_2007-06-30.png,-0.1124508519003931,0,1,overvalued
31,A_2007-09-30.png,-0.1801899592944369,0,1,overvalued
32,A_2007-12-31.png,0.06497341996456,0,1,neutral
33,A_2008-03-31.png,-0.2654750082754055,0,1,overvalued
34,A_2008-06-30.png,-0.4986134220743206,0,1,overvalued
35,A_2008-09-30.png,-0.1771068048670572,0,1,overvalued
36,A_2008-12-31.png,0.2842920353982301,0,1,undervalued
37,A_2009-03-31.png,0.3548740416210293,0,1,undervalued
38,A_2009-06-30.png,0.2071490094745909,0,1,neutral
39,A_2009-09-30.png,0.465642683912692,0,1,undervalued
40,A_2009-12-31.png,-0.0035676061362826,0,1,neutral
41,A_2010-03-31.png,-0.0402647545504688,0,1,neutral
42,A_2010-06-30.png,0.497672753311851,0,1,undervalued
43,A_2010-09-30.png,0.4341954022988506,0,1,undervalued
44,A_2010-12-31.png,0.0078890748266793,0,1,neutral
45,A_2011-03-31.png,-0.2572630735323581,0,1,overvalued
46,A_2011-06-30.png,0.0073529411764706,0,1,neutral
47,A_2011-09-30.png,0.1378473158888589,0,1,neutral
48,A_2011-12-31.png,-0.0984224158229338,0,1,overvalued
49,A_2012-03-31.png,-0.1467520151730677,0,1,overvalued
50,A_2012-06-30.png,0.1694959519456778,0,1,neutral
51,A_2012-09-30.png,0.1514309530425117,0,1,neutral
52,A_2012-12-31.png,-0.0011165698972756,0,1,neutral
53,A_2013-03-31.png,0.2249034749034749,0,1,undervalued
54,A_2013-06-30.png,0.3000223563603846,0,1,undervalued
55,A_2013-09-30.png,0.0646178092986603,0,1,neutral
56,A_2013-12-31.png,-0.0354256233877901,0,1,neutral
57,A_2014-03-31.png,0.0229459659511473,0,1,neutral
58,A_2014-06-30.png,-0.3266179354608664,0,1,overvalued
59,A_2014-09-30.png,-0.2516280752532562,0,0,overvalued
60,A_2014-12-31.png,0.0841938046068308,0,1,neutral
61,A_2015-03-31.png,-0.08726130045927,0,1,overvalued
62,A_2015-06-30.png,-0.0805860805860806,0,0,overvalued
63,A_2015-09-30.png,0.0836864406779662,0,1,neutral
64,A_2015-12-31.png,0.2778220451527224,0,1,undervalued
65,A_2016-03-31.png,0.0647605083088953,0,1,neutral
66,A_2016-06-30.png,0.017875701517356,0,1,neutral
67,A_2016-09-30.png,0.2634840486573329,0,1,undervalued
68,A_2016-12-31.png,0.2209516030222585,0,1,undervalued
69,A_2017-03-31.png,0.2357856494096277,0,1,undervalued
70,A_2017-06-30.png,0.2281317946144841,0,1,undervalued
71,A_2017-09-30.png,-0.0336616198735852,0,1,neutral
72,A_2017-12-31.png,-0.100640065368378,0,1,overvalued
73,A_2018-03-31.png,-0.0144508670520229,0,1,neutral
74,A_2018-06-30.png,0.1515748031496061,0,1,neutral
75,A_2018-09-30.png,0.2116067294335544,0,1,undervalued
76,A_2018-12-31.png,-0.0873109796186719,0,1,overvalued
77,A_2019-03-31.png,-0.0350318471337579,0,1,neutral
78,A_2019-06-30.png,0.1894539691687077,0,1,neutral
79,A_2019-09-30.png,0.0120132013201319,0,0,neutral
80,A_2019-12-31.png,0.1667877906976743,0,1,neutral
81,A_2020-03-31.png,0.331724497782416,0,1,undervalued
82,A_2020-06-30.png,0.2474826118550815,0,1,undervalued
83,A_2020-09-30.png,0.3090410422176509,0,0,undervalued
84,A_2020-12-31.png,0.275110260464342,0,1,undervalued
85,AAL_2014-03-31.png,-0.0306010928961749,0,1,neutral
