,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,R,MRT,2014-03-31,2014-03-31,2014-03-31,2021-09-09,-449713000,9367483000,8959853500.0,1117116000,8250367000,0.722,35.553,-1814589000,72786000,72786000,5139002000,246179000,0.814,3.934,4446597000,400846000,4045751000,4446597000,0,1000884000,0,0.017,1.33,517237000,1518121000,0.235,1518121000,517237000,376119000,4.7,4.66,4.7,1898541000,1749517500.0,1898541000,8395580051,16,5.53,-573320000,-10.736,1.0,1328003000,0.205,453611000,141118000,11915061000,11310624000.0,64758000,472148000,0,472148000,7468942000,1372622000,6096320000,4267717051,-3703000,-2087000,46310000,530235000,-69745000,510669000,-1749731000,59450000,1241269000,668000,246179000,246179000,246179000,5392000,0,0.038,805374000,522629000,505779000,0.283,2.248,17.336,17.004,7324608000,0,79.92,0.66,0.66,822010000,1390310000,6467005000,6467005000,0,0.027,0.141,0.046,0.08,19559000,793310000,1.0,53399863,53399863,,121.105,8913872000,0,129940000,1433288000,166.927,-255506000
1,R,MRQ,2014-03-31,2014-03-31,2014-03-31,2021-09-09,-449713000,9367483000,,1117116000,8250367000,,35.553,-451045000,72786000,72786000,1306477000,48232000,0.814,3.934,4446597000,400846000,4045751000,4446597000,0,248815000,0,0.017,0.34,109247000,358062000,0.222,358062000,109247000,74138000,0.91,0.9,0.91,1898541000,,1898541000,8395580051,16,5.53,-213385000,-3.996,1.0,304260000,0.189,453611000,35109000,11915061000,,64758000,472148000,0,472148000,7468942000,1372622000,6096320000,4267717051,11224000,-1649000,-21911000,254792000,-18005000,215169000,-441847000,16184000,237660000,1369000,48232000,48232000,48232000,866000,0,0.03,194147000,110113000,505779000,0.374,2.248,17.336,17.004,7324608000,0,79.92,0.66,0.66,822010000,1390310000,1610737000,1610737000,0,,,,,4858000,191702000,1.0,53399863,53399863,,30.164,8913872000,0,25906000,1433288000,166.927,-255506000
2,R,ART,2014-03-31,2014-04-23,2014-03-31,2021-09-09,-449713000,9367483000,8959853500.0,1117116000,8250367000,0.722,35.697,-1832425000,72786000,72786000,5137241000,246100000,0.814,3.934,4446597000,400846000,4045751000,4446597000,0,974415000,0,0.016,1.33,513850000,1488265000,0.23,1488265000,513850000,375999000,4.7,4.66,4.7,1898541000,1749517500.0,1898541000,8782273873,17,5.901,-626584000,-11.781,1.0,1329764000,0.206,453611000,137851000,11915061000,11310624000.0,64758000,472148000,0,472148000,7468942000,1372622000,6096320000,4408462873,-3703000,-2087000,46310000,576800000,-69745000,557234000,-1767567000,59450000,1205841000,789000,246100000,246100000,246100000,5392000,0,0.038,810522000,519242000,505779000,0.283,2.322,17.913,17.636,7324608000,0,82.89,0.682,0.682,822010000,1390310000,6467005000,6467005000,0,0.027,0.141,0.045,0.079,19559000,792570000,1.0,53184496,53184496,,121.596,8913872000,0,129899000,1433288000,167.603,-255506000
3,R,ARQ,2014-03-31,2014-04-23,2014-03-31,2021-09-09,-449713000,9367483000,,1117116000,8250367000,,35.697,-451045000,72786000,72786000,1306477000,48232000,0.814,3.934,4446597000,400846000,4045751000,4446597000,0,248815000,0,0.016,0.0,109247000,358062000,0.222,358062000,109247000,74138000,0.91,0.9,0.91,1898541000,,1898541000,8782273873,17,5.901,-214291000,-4.029,1.0,304260000,0.189,453611000,35109000,11915061000,,64758000,472148000,0,472148000,7468942000,1372622000,6096320000,4408462873,11224000,-1649000,-21911000,254792000,-18005000,215169000,-441847000,16184000,236754000,1148000,48232000,48232000,48232000,866000,0,0.03,194147000,110113000,505779000,0.0,2.322,17.913,17.636,7324608000,0,82.89,0.682,0.682,822010000,1390310000,1610737000,1610737000,0,,,,,4858000,191702000,1.0,53184496,53184496,,30.286,8913872000,0,25906000,1433288000,167.603,-255506000
