,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,LM,MRT,2009-12-31,2009-12-31,2009-12-31,2020-07-31,63868000,9100760000.0,9143601000.0,3032495000.0,6068265000.0,0.282,35.976,-114297000.0,1433302000,1433302000,0.0,-181065000.0,1.886,0.568,1964633000,808087000.0,1156546000.0,1964633000,0.0,95390000.0,0.0,0.011,0.33,-323848000.0,-228458000.0,-0.089,-228458000.0,-323848000.0,-471948000.0,-1.42,-1.42,-1.42,5785412000,5203654750.0,5785412000,5252997013,-16.0,-22.993,647259000.0,4.025,1.0,2580670000.0,1.0,5226828000,148100000.0,2797217000.0,3788367750.0,0.0,410477000,410477000.0,0.0,3287914000.0,1608046000.0,1679868000.0,4865949013,-145075000.0,-136293000.0,5569000.0,-257056000.0,-77529000.0,-455127000.0,-446629000.0,-740925000.0,761556000.0,-4875000.0,-189474000.0,-189474000.0,-189474000.0,0.0,8409000.0,-0.073,2410658000.0,170012000.0,395873000,-0.232,0.841,-25.681,-21.239,374698000,0.0,30.16,1.886,1.879,352232000,1258943000,2580670000.0,2580670000.0,0.0,-0.021,-0.036,-0.085,-0.125,49714000.0,2153441000.0,1.0,161337832,160815000,,16.047,3873932000.0,875808000.0,-282474000.0,275819000.0,24.089,1424449000.0
1,LM,MRQ,2009-12-31,2009-12-31,2009-12-31,2020-07-31,63868000,9100760000.0,,3032495000.0,6068265000.0,,35.976,-14558000.0,1433302000,1433302000,0.0,46233000.0,1.886,0.568,1964633000,808087000.0,1156546000.0,1964633000,0.0,16401000.0,0.0,0.011,0.06,100176000.0,116577000.0,0.169,116577000.0,100176000.0,70928000.0,0.28,0.28,0.28,5785412000,,5785412000,5252997013,-16.0,-22.993,86489000.0,0.538,1.0,690479000.0,1.0,5226828000,29248000.0,2797217000.0,,0.0,410477000,410477000.0,0.0,3287914000.0,1608046000.0,1679868000.0,4865949013,-94295000.0,-180369000.0,539000.0,-1313000.0,-4823000.0,-17766000.0,-178602000.0,-188000.0,101047000.0,1026000.0,44922000.0,44922000.0,44922000.0,0.0,1311000.0,0.065,611331000.0,79148000.0,395873000,0.214,0.841,-25.681,-21.239,374698000,0.0,30.16,1.886,1.879,352232000,1258943000,690479000.0,690479000.0,0.0,,,,,11616000.0,568387000.0,1.0,161337832,160815000,162949000.0,4.294,3873932000.0,875808000.0,26006000.0,275819000.0,24.089,1424449000.0
2,LM,ART,2009-12-31,2010-02-05,2009-12-31,2020-07-31,63868000,9100760000.0,9165864750.0,3032495000.0,6068265000.0,0.282,35.976,-114297000.0,1433302000,1433302000,0.0,-179202000.0,1.886,0.568,1964633000,808087000.0,1156546000.0,1964633000,0.0,150530000.0,0.0,0.013,0.33,-323831000.0,-173301000.0,-0.067,-173301000.0,-323831000.0,-463628000.0,-1.38,-1.38,-1.38,5785412000,5167617750.0,5785412000,4546732916,-14.0,-26.236,676604000.0,4.207,1.0,2580670000.0,1.0,5226828000,139797000.0,2797217000.0,3868932000.0,0.0,410477000,410477000.0,0.0,3287914000.0,1608046000.0,1679868000.0,4015401916,-135291000.0,-136293000.0,5569000.0,-255556000.0,-77529000.0,-474688000.0,-446629000.0,-740925000.0,790901000.0,-4875000.0,-184331000.0,-184331000.0,-184331000.0,0.0,5129000.0,-0.071,2410658000.0,170012000.0,395873000,-0.239,0.694,-21.784,-18.022,374698000,0.0,24.87,1.556,1.55,352232000,1258943000,2580670000.0,2580670000.0,0.0,-0.02,-0.036,-0.084,-0.125,49714000.0,2153441000.0,1.0,161455646,160815000,,16.047,3873932000.0,875808000.0,-279297000.0,275819000.0,24.089,1424449000.0
3,LM,ARQ,2009-12-31,2010-02-05,2009-12-31,2020-07-31,63868000,9100760000.0,,3032495000.0,6068265000.0,,35.976,-14558000.0,1433302000,1433302000,0.0,46233000.0,1.886,0.568,1964633000,808087000.0,1156546000.0,1964633000,0.0,35922000.0,0.0,0.013,0.03,100169000.0,136091000.0,0.197,136091000.0,100169000.0,70928000.0,0.28,0.28,0.28,5785412000,,5785412000,4546732916,-14.0,-26.236,60181000.0,0.374,1.0,690479000.0,1.0,5226828000,29241000.0,2797217000.0,,0.0,410477000,410477000.0,0.0,3287914000.0,1608046000.0,1679868000.0,4015401916,-120578000.0,-180369000.0,539000.0,-1288000.0,-4823000.0,-17741000.0,-178602000.0,-188000.0,74739000.0,1026000.0,44922000.0,44922000.0,44922000.0,0.0,1311000.0,0.065,611331000.0,79148000.0,395873000,0.107,0.694,-21.784,-18.022,374698000,0.0,24.87,1.556,1.55,352232000,1258943000,690479000.0,690479000.0,0.0,,,,,11616000.0,568387000.0,1.0,161455646,160815000,162949000.0,4.294,3873932000.0,875808000.0,26006000.0,275819000.0,24.089,1424449000.0
