,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,LNC,MRT,2007-09-30,2007-09-30,2007-09-30,2021-09-07,197000000,192217000000,184922000000.0,,,0.056,44.098,0,1326000000,1326000000,8129000000,1484000000,,15.068,3163000000,,,3163000000,0,0,59797000000,0.024,1.565,2348000000,2348000000,0.226,2348000000,2348000000,2071000000,5.44,5.37,5.44,11963000000,12008000000.0,11963000000,19674566228,8,8.379,3236000000,11.928,1.0,2245000000,0.216,4522000000,277000000,189532000000,182581750000.0,0,71548000000,,,180254000000,,,17896566228,219000000,0,-742000000,445000000,-428000000,-1533000000,-1484000000,-1232000000,3236000000,0,1484000000,1484000000,1484000000,-42000000,0,0.143,-61000000,2306000000,0,0.288,1.496,12.06,12.127,0,0,65.97,1.725,1.725,401000000,4456000000,10374000000,10374000000,0,0.008,0.124,0.013,0.226,57000000,0,1.0,271283405,271283405,,38.24,187695000000,0,587000000,0,691.878,
1,LNC,MRQ,2007-09-30,2007-09-30,2007-09-30,2021-09-07,197000000,192217000000,,,,,44.098,0,1326000000,1326000000,2084000000,330000000,,15.068,3163000000,,,3163000000,0,0,59797000000,0.024,0.395,524000000,524000000,0.201,524000000,524000000,455000000,1.22,1.21,1.22,11963000000,,11963000000,19674566228,8,8.379,741000000,2.731,1.0,517000000,0.199,4522000000,69000000,189532000000,,0,71548000000,,,180254000000,,,17896566228,337000000,0,-155000000,396000000,-107000000,329000000,-733000000,-596000000,741000000,0,330000000,330000000,330000000,-7000000,0,0.127,0,517000000,0,0.324,1.496,12.06,12.127,0,0,65.97,1.725,1.725,401000000,4456000000,2601000000,2601000000,0,,,,,10000000,0,1.0,271283405,271283405,,9.588,187695000000,0,125000000,0,691.878,
2,LNC,ART,2007-09-30,2007-11-07,2007-09-30,2021-09-07,197000000,192217000000,184921750000.0,,,0.058,44.435,0,1326000000,1326000000,8240000000,1484000000,,15.068,3163000000,,,3163000000,0,0,59797000000,0.027,1.58,2367000000,2367000000,0.22,2367000000,2367000000,2093000000,5.44,5.37,5.44,11963000000,12008000000.0,11963000000,17769876763,8,7.507,3235000000,12.016,1.0,2509000000,0.233,4522000000,274000000,189532000000,182223000000.0,0,71548000000,,,180254000000,,,15932876763,218000000,0,-589000000,445000000,-428000000,-1533000000,-1484000000,-1232000000,3235000000,0,1484000000,1484000000,1484000000,0,0,0.138,142000000,2367000000,0,0.29,1.332,10.736,10.879,0,0,59.18,1.482,1.482,401000000,4456000000,10749000000,10749000000,0,0.008,0.124,0.013,0.22,57000000,0,1.0,269227387,269227387,,39.925,187695000000,0,609000000,0,697.162,
3,LNC,ARQ,2007-09-30,2007-11-07,2007-09-30,2021-09-07,197000000,192217000000,,,,,44.435,0,1326000000,1326000000,2120000000,330000000,,15.068,3163000000,,,3163000000,0,0,59797000000,0.027,0.395,528000000,528000000,0.197,528000000,528000000,459000000,1.22,1.21,1.22,11963000000,,11963000000,17769876763,8,7.507,741000000,2.752,1.0,561000000,0.209,4522000000,69000000,189532000000,,0,71548000000,,,180254000000,,,15932876763,337000000,0,-155000000,396000000,-107000000,329000000,-733000000,-596000000,741000000,0,330000000,330000000,330000000,0,0,0.123,33000000,528000000,0,0.324,1.332,10.736,10.879,0,0,59.18,1.482,1.482,401000000,4456000000,2681000000,2681000000,0,,,,,10000000,0,1.0,269227387,269227387,,9.958,187695000000,0,129000000,0,697.162,
