,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,SHW,MRT,2011-12-31,2011-12-31,2011-12-31,2021-09-07,-367878000,5229252000,5449203250.0,2261593000,2967659000,1.609,4.873,-153801000,32696000,32696000,5021137000,441860000,1.046,2.447,993367000,354136000,639231000,993367000,0,180904000,0,0.016,0.487,784045000,964949000,0.11,964949000,784045000,741548000,1.407,1.38,1.407,1516919000,1626731250.0,1516919000,10385529189,13,10.763,582011000,1.87,1.0,3744562000,0.427,1413881000,42497000,2613381000,2844929000.0,926809000,0,0,0,3712333000,2162661000,1549672000,9262715189,-25889000,-44436000,-297836000,-52450000,-153512000,-475209000,-277769000,-92374000,735812000,-8723000,441860000,441860000,441860000,0,0,0.05,2969037000,775525000,965149000,0.346,6.106,20.963,21.149,956530000,0,29.757,1.057,1.057,989873000,756372000,8765699000,8765699000,0,0.081,0.272,0.276,0.089,44965000,2963545000,1.0,311282016,311282016,,28.16,3815371000,149207000,299688000,120555000,12.257,98932000
1,SHW,MRQ,2011-12-31,2011-12-31,2011-12-31,2021-09-07,-367878000,5229252000,,2261593000,2967659000,,4.873,-56918000,32696000,32696000,1184342000,14552000,1.046,2.447,993367000,354136000,639231000,993367000,0,44834000,0,0.016,0.122,139166000,184000000,0.089,184000000,139166000,129543000,0.053,0.053,0.053,1516919000,,1516919000,10385529189,13,10.763,232931000,0.748,1.0,886100000,0.428,1413881000,9623000,2613381000,,926809000,0,0,0,3712333000,2162661000,1549672000,9262715189,-13330000,-14589000,-10597000,-176019000,-37861000,-205714000,-96829000,-25966000,289849000,-636000,14552000,14552000,14552000,0,0,0.007,760106000,125994000,965149000,2.302,6.106,20.963,21.149,956530000,0,29.757,1.057,1.057,989873000,756372000,2070442000,2070442000,0,,,,,13190000,754614000,1.0,311282016,311282016,,6.651,3815371000,149207000,114991000,120555000,12.257,98932000
2,SHW,ART,2011-12-31,2012-02-23,2011-12-31,2021-09-07,-367878000,5229252000,5449203250.0,2261593000,2967659000,1.609,4.854,-153801000,32696000,32696000,5021137000,441860000,1.046,2.447,993367000,354136000,639231000,993367000,0,180904000,0,0.015,0.495,784045000,964949000,0.11,964949000,784045000,741548000,1.407,1.38,1.407,1516919000,1626731250.0,1516919000,11477550726,15,11.894,582011000,1.862,1.0,3744562000,0.427,1413881000,42497000,2613381000,2844929000.0,926809000,0,0,0,3712333000,2162661000,1549672000,10516879726,-25889000,-44436000,-297836000,-52450000,-153512000,-475209000,-277769000,-92374000,735812000,-8723000,441860000,441860000,441860000,0,0,0.05,2969037000,775525000,965149000,0.352,6.933,23.801,23.919,956530000,0,33.653,1.2,1.2,989873000,756372000,8765699000,8765699000,0,0.081,0.272,0.276,0.089,44965000,2963545000,1.0,312506331,312506331,,28.05,3815371000,149207000,299688000,120555000,12.209,98932000
3,SHW,ARQ,2011-12-31,2012-02-23,2011-12-31,2021-09-07,-367878000,5229252000,,2261593000,2967659000,,4.854,-56918000,32696000,32696000,1184342000,14552000,1.046,2.447,993367000,354136000,639231000,993367000,0,44834000,0,0.015,0.252,139166000,184000000,0.089,184000000,139166000,129543000,0.053,0.053,0.053,1516919000,,1516919000,11477550726,15,11.894,232931000,0.745,1.0,886100000,0.428,1413881000,9623000,2613381000,,926809000,0,0,0,3712333000,2162661000,1549672000,10516879726,-13330000,-14589000,-10597000,-176019000,-37861000,-205714000,-96829000,-25966000,289849000,-636000,14552000,14552000,14552000,0,0,0.007,760106000,125994000,965149000,4.755,6.933,23.801,23.919,956530000,0,33.653,1.2,1.2,989873000,756372000,2070442000,2070442000,0,,,,,13190000,754614000,1.0,312506331,312506331,,6.625,3815371000,149207000,114991000,120555000,12.209,98932000
