,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,HII,MRT,2010-12-31,2010-12-31,2010-12-31,2021-08-05,-515000000.0,5203000000.0,5119500000.0,1313000000.0,3890000000.0,1.313,29.057,-191000000.0,0.0,0.0,5831000000.0,131000000.0,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,183000000.0,0.0,,0.0,239000000.0,422000000.0,0.063,422000000.0,239000000.0,199000000.0,2.68,2.68,2.68,1418000000.0,1427500000.0,1418000000.0,,,,168000000.0,3.443,1.0,892000000.0,0.133,1721000000.0,40000000.0,2076000000.0,2117000000.0,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,0.0,0.0,0.0,0.0,0.0,-170000000.0,-189000000.0,0.0,359000000.0,0.0,131000000.0,131000000.0,131000000.0,0.0,0.0,0.019,651000000.0,241000000.0,274000000.0,0.0,,,,1997000000.0,0.0,,,,728000000.0,0.0,6723000000.0,6723000000.0,0.0,0.026,0.092,0.113,0.036,0.0,670000000.0,1.0,48775547.0,48800000.0,48800000.0,137.766,3482000000.0,284000000.0,68000000.0,99000000.0,71.352,-913000000.0
1,HII,MRQ,2010-12-31,2010-12-31,2010-12-31,2021-08-05,-515000000.0,5203000000.0,,1313000000.0,3890000000.0,,29.057,-95000000.0,0.0,0.0,1461000000.0,59000000.0,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,40000000.0,0.0,,0.0,95000000.0,135000000.0,0.078,135000000.0,95000000.0,85000000.0,1.2,1.2,1.2,1418000000.0,,1418000000.0,,,,113000000.0,2.316,1.0,275000000.0,0.158,1721000000.0,10000000.0,2076000000.0,,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,0.0,0.0,0.0,0.0,0.0,-115000000.0,-93000000.0,0.0,208000000.0,0.0,59000000.0,59000000.0,59000000.0,0.0,0.0,0.034,178000000.0,97000000.0,274000000.0,0.0,,,,1997000000.0,0.0,,,,728000000.0,0.0,1736000000.0,1736000000.0,0.0,,,,,0.0,197000000.0,1.0,48775547.0,48800000.0,48800000.0,35.574,3482000000.0,284000000.0,26000000.0,99000000.0,71.352,-913000000.0
2,HII,ART,2010-12-31,2011-03-16,2010-12-31,2021-08-05,-515000000.0,5203000000.0,5102000000.0,1313000000.0,3890000000.0,1.318,29.072,-191000000.0,0.0,0.0,5812000000.0,135000000.0,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,183000000.0,0.0,,0.0,246000000.0,429000000.0,0.064,429000000.0,246000000.0,206000000.0,,,,1418000000.0,1427500000.0,1418000000.0,,,,168000000.0,3.444,1.0,911000000.0,0.136,1721000000.0,40000000.0,2076000000.0,2110500000.0,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,0.0,0.0,0.0,0.0,0.0,-170000000.0,-189000000.0,0.0,359000000.0,0.0,135000000.0,135000000.0,135000000.0,0.0,0.0,0.02,663000000.0,248000000.0,274000000.0,,,,,1997000000.0,0.0,,,,728000000.0,,6723000000.0,6723000000.0,0.0,0.026,0.095,0.117,0.037,0.0,663000000.0,1.0,48775547.0,48775547.0,,137.835,3482000000.0,284000000.0,71000000.0,99000000.0,71.388,-913000000.0
3,HII,ART,2010-12-31,2011-03-15,2010-12-31,2021-08-05,-515000000.0,5203000000.0,5102000000.0,1313000000.0,3890000000.0,1.318,29.072,-191000000.0,0.0,0.0,5812000000.0,135000000.0,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,183000000.0,0.0,,0.0,246000000.0,429000000.0,0.064,429000000.0,246000000.0,206000000.0,,,,1418000000.0,1427500000.0,1418000000.0,,,,168000000.0,3.444,1.0,911000000.0,0.136,1721000000.0,40000000.0,2076000000.0,2110500000.0,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,0.0,0.0,0.0,0.0,0.0,-170000000.0,-189000000.0,0.0,359000000.0,0.0,135000000.0,135000000.0,135000000.0,0.0,0.0,0.02,663000000.0,248000000.0,274000000.0,,,,,1997000000.0,0.0,,,,728000000.0,,6723000000.0,6723000000.0,0.0,0.026,0.095,0.117,0.037,0.0,663000000.0,1.0,48775547.0,48775547.0,,137.835,3482000000.0,284000000.0,71000000.0,99000000.0,71.388,-913000000.0
4,HII,ART,2010-12-31,2011-03-08,2010-12-31,2021-08-05,-515000000.0,5203000000.0,5102000000.0,1313000000.0,3890000000.0,1.318,29.072,-191000000.0,0.0,0.0,5812000000.0,135000000.0,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,183000000.0,0.0,,0.0,246000000.0,429000000.0,0.064,429000000.0,246000000.0,206000000.0,,,,1418000000.0,1427500000.0,1418000000.0,,,,168000000.0,3.444,1.0,911000000.0,0.136,1721000000.0,40000000.0,2076000000.0,2110500000.0,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,0.0,0.0,0.0,0.0,0.0,-170000000.0,-189000000.0,0.0,359000000.0,0.0,135000000.0,135000000.0,135000000.0,0.0,0.0,0.02,663000000.0,248000000.0,274000000.0,,,,,1997000000.0,0.0,,,,728000000.0,,6723000000.0,6723000000.0,0.0,0.026,0.095,0.117,0.037,0.0,663000000.0,1.0,48775547.0,48775547.0,,137.835,3482000000.0,284000000.0,71000000.0,99000000.0,71.388,-913000000.0
5,HII,ART,2010-12-31,2011-02-22,2010-12-31,2021-08-05,-515000000.0,5203000000.0,5102000000.0,1313000000.0,3890000000.0,1.318,29.072,-191000000.0,0.0,0.0,5812000000.0,135000000.0,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,183000000.0,0.0,,0.0,246000000.0,429000000.0,0.064,429000000.0,246000000.0,206000000.0,,,,1418000000.0,1427500000.0,1418000000.0,,,,168000000.0,3.444,1.0,911000000.0,0.136,1721000000.0,40000000.0,2076000000.0,2110500000.0,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,0.0,0.0,0.0,0.0,0.0,-170000000.0,-189000000.0,0.0,359000000.0,0.0,135000000.0,135000000.0,135000000.0,0.0,0.0,0.02,663000000.0,248000000.0,274000000.0,,,,,1997000000.0,0.0,,,,728000000.0,,6723000000.0,6723000000.0,0.0,0.026,0.095,0.117,0.037,0.0,663000000.0,1.0,48775547.0,48775547.0,,137.835,3482000000.0,284000000.0,71000000.0,99000000.0,71.388,-913000000.0
6,HII,ART,2010-12-31,2011-02-09,2010-12-31,2021-08-05,-515000000.0,5203000000.0,5102000000.0,1313000000.0,3890000000.0,1.318,29.072,-191000000.0,0.0,0.0,5812000000.0,135000000.0,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,183000000.0,0.0,,0.0,246000000.0,429000000.0,0.064,429000000.0,246000000.0,206000000.0,,,,1418000000.0,1427500000.0,1418000000.0,,,,168000000.0,3.444,1.0,911000000.0,0.136,1721000000.0,40000000.0,2076000000.0,2110500000.0,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,0.0,0.0,0.0,0.0,0.0,-170000000.0,-189000000.0,0.0,359000000.0,0.0,135000000.0,135000000.0,135000000.0,0.0,0.0,0.02,663000000.0,248000000.0,274000000.0,,,,,1997000000.0,0.0,,,,728000000.0,,6723000000.0,6723000000.0,0.0,0.026,0.095,0.117,0.037,0.0,663000000.0,1.0,48775547.0,48775547.0,,137.835,3482000000.0,284000000.0,71000000.0,99000000.0,71.388,-913000000.0
7,HII,ARQ,2010-12-31,2011-03-16,2010-12-31,2021-08-05,-515000000.0,5203000000.0,,1313000000.0,3890000000.0,,29.072,,0.0,0.0,,,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,,0.0,,0.0,,,,,,,,,,1418000000.0,,1418000000.0,,,,,,1.0,,,1721000000.0,,2076000000.0,,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,,,,,,,,,,,,,,,,,,,274000000.0,,,,,1997000000.0,,,,,728000000.0,,,,,,,,,,,1.0,48775547.0,48775547.0,,,3482000000.0,284000000.0,,99000000.0,71.388,-913000000.0
8,HII,ARQ,2010-12-31,2011-03-15,2010-12-31,2021-08-05,-515000000.0,5203000000.0,,1313000000.0,3890000000.0,,29.072,,0.0,0.0,,,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,,0.0,,0.0,,,,,,,,,,1418000000.0,,1418000000.0,,,,,,1.0,,,1721000000.0,,2076000000.0,,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,,,,,,,,,,,,,,,,,,,274000000.0,,,,,1997000000.0,,,,,728000000.0,,,,,,,,,,,1.0,48775547.0,48775547.0,,,3482000000.0,284000000.0,,99000000.0,71.388,-913000000.0
9,HII,ARQ,2010-12-31,2011-03-08,2010-12-31,2021-08-05,-515000000.0,5203000000.0,,1313000000.0,3890000000.0,,29.072,,0.0,0.0,,,0.59,2.669,820000000.0,715000000.0,105000000.0,820000000.0,107000000.0,,0.0,,0.0,,,,,,,,,,1418000000.0,,1418000000.0,,,,,,1.0,,,1721000000.0,,2076000000.0,,293000000.0,0.0,0.0,0.0,3785000000.0,2226000000.0,1559000000.0,,,,,,,,,,,,,,,,,,,,274000000.0,,,,,1997000000.0,,,,,728000000.0,,,,,,,,,,,1.0,48775547.0,48775547.0,,,3482000000.0,284000000.0,,99000000.0,71.388,-913000000.0
