,ticker,Begin Date,End Date,ARY_start,ARY_end,ARY_count,ARY_exp_count,MRY_start,MRY_end,MRY_count,MRY_exp_count,ARQ_start,ARQ_end,ARQ_count,ARQ_exp_count,MRQ_start,MRQ_end,MRQ_count,MRQ_exp_count,ART_start,ART_end,ART_count,ART_exp_count,MRT_start,MRT_end,MRT_count,MRT_exp_count,1998_Missing,1999_Missing,2000_Missing,2001_Missing,2002_Missing,2003_Missing,2004_Missing,2005_Missing,2006Missing,2007_Missing,2008_Missing,2009_Missing,2011_Missing,2012_Missing,2013_Missing,2014_Missing,2015_Missing,2016_Missing,2017_Missing,2018_Missing,2019_Missing,2020_Missing,2006_Missing,2010_Missing
29,AFL,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,AFS.A,1998-03-31,2000-09-30,1998-12-31,1999-12-31,2.0,,1998-12-31,1999-12-31,2.0,,1998-03-31,2000-09-30,11.0,,1998-03-31,2000-09-30,11.0,,1998-03-31,2000-09-30,11.0,,1998-03-31,2000-09-30,11.0,,,,_FY_Q4,,,,,,,,,,,,,,,,,,,,,
31,AGC1,1998-03-31,2001-06-30,1998-12-31,2000-12-31,3.0,,1998-12-31,2000-12-31,3.0,,1998-03-31,2001-06-30,14.0,,1998-03-31,2001-06-30,14.0,,1998-03-31,2001-06-30,14.0,,1998-03-31,2001-06-30,14.0,,,,,_FY_Q3_Q4,,,,,,,,,,,,,,,,,,,,
32,AGN,1998-03-31,2020-03-31,1998-12-31,2019-12-31,22.0,,1998-12-31,2019-12-31,22.0,,1998-03-31,2020-03-31,91.0,,1998-03-31,2020-03-31,89.0,,1998-03-31,2020-03-31,91.0,,1998-03-31,2020-03-31,89.0,,,,,,,,,,,,,,,,,,,,,,,_FY_Q2_Q3_Q4,,
33,AGN1,1998-03-31,2014-12-31,1998-12-31,2014-12-31,17.0,,1998-12-31,2014-12-31,17.0,,1998-03-31,2014-12-31,68.0,,1998-03-31,2014-12-31,68.0,,1998-03-31,2014-12-31,68.0,,1998-03-31,2014-12-31,68.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,AHM1,1998-03-31,1998-06-30,,,0.0,,,,0.0,,1998-03-31,1998-06-30,2.0,,1998-03-31,1998-06-30,2.0,,1998-03-31,1998-06-30,2.0,,1998-03-31,1998-06-30,2.0,,_FY_Q3_Q4,,,,,,,,,,,,,,,,,,,,,,,
35,AIG,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,AIT,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,AIV,1998-03-31,2020-12-31,1998-12-31,2020-12-31,24.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,96.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,96.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,AIZ,2000-12-31,2020-12-31,2002-12-31,2020-12-31,20.0,,2000-12-31,2020-12-31,21.0,,2003-09-30,2020-12-31,72.0,,2002-12-31,2020-12-31,73.0,,2002-12-31,2020-12-31,73.0,,2000-12-31,2020-12-31,75.0,,,,_Q2_Q3,_Q2_Q3,_Q2_Q3,,,,,,,,,,,,,,,,,,,
