,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,ECL,MRT,2002-06-30,2002-06-30,2002-06-30,2021-09-07,0,2651634000,2395439250.0,996071000,1655563000,1.164,3.77,-168973000,50792000,50792000,1374215000,182145000,1.186,1.728,699806000,174555000,525251000,699806000,0,188233000,0,0.009,0.203,338972000,527205000,0.189,527205000,338972000,301555000,0.715,0.695,0.715,971981000,906317000.0,971981000,6648737368,20,12.611,287286000,1.114,1.0,1413453000,0.507,808076000,37417000,1652440000,1627332000.0,288043000,0,0,0,1679653000,840132000,839521000,5962044368,-2353000,-484331000,-19881000,251442000,-67873000,193560000,-653306000,0,456259000,1134000,182145000,182145000,182145000,-1882000,0,0.065,1081352000,332101000,195159000,0.284,6.134,32.732,32.329,650062000,0,23.115,2.139,2.138,554781000,,2787668000,2787668000,0,0.076,0.201,0.208,0.122,0,1056222000,1.0,257929672,257810000,261476000,10.813,1843558000,58192000,119410000,21316000,7.151,155939000
1,ECL,MRQ,2002-06-30,2002-06-30,2002-06-30,2021-09-07,0,2651634000,,996071000,1655563000,,3.77,-48407000,50792000,50792000,413425000,51661000,1.186,1.728,699806000,174555000,525251000,699806000,0,51931000,0,0.009,0.068,98624000,150555000,0.179,150555000,98624000,86669000,0.205,0.195,0.205,971981000,,971981000,6648737368,20,12.611,84982000,0.33,1.0,425805000,0.507,808076000,11955000,1652440000,,288043000,0,0,0,1679653000,840132000,839521000,5962044368,20560000,-2348000,-1348000,-47263000,-17397000,-60346000,-50755000,0,133389000,-1728000,51661000,51661000,51661000,0,0,0.062,327181000,98624000,195159000,0.332,6.134,32.732,32.329,650062000,0,23.115,2.139,2.138,554781000,,839230000,839230000,0,,,,,0,315363000,1.0,257929672,257810000,261476000,3.255,1843558000,58192000,35008000,21316000,7.151,155939000
2,ECL,ART,2002-06-30,2002-08-09,2002-06-30,2021-09-07,0,2651634000,2395439250.0,996071000,1655563000,1.17,3.77,-168973000,50792000,50792000,1358955000,186147000,1.186,1.728,699806000,174555000,525251000,699806000,0,188233000,0,0.009,0.203,342974000,531207000,0.189,531207000,342974000,305557000,0.725,0.72,0.725,971981000,906317000.0,971981000,6806873594,20,12.814,287286000,1.114,1.0,1444392000,0.515,808076000,37417000,1652440000,1627332000.0,288043000,0,0,0,1679653000,840132000,839521000,6157859594,-2353000,-484331000,-19881000,251442000,-67873000,193560000,-653306000,0,456259000,1134000,186147000,186147000,186147000,-1882000,0,0.066,1112291000,332101000,195159000,0.28,6.335,33.081,32.834,650062000,0,23.805,2.197,2.189,554781000,,2803347000,2803347000,0,0.078,0.205,0.211,0.122,0,1087161000,1.0,258679252,257810000,261226000,10.874,1843558000,58192000,119410000,21316000,7.151,155939000
3,ECL,ARQ,2002-06-30,2002-08-09,2002-06-30,2021-09-07,0,2651634000,,996071000,1655563000,,3.77,-48407000,50792000,50792000,413425000,51661000,1.186,1.728,699806000,174555000,525251000,699806000,0,51931000,0,0.009,0.068,98624000,150555000,0.179,150555000,98624000,86669000,0.2,0.2,0.2,971981000,,971981000,6806873594,20,12.814,84982000,0.33,1.0,425805000,0.507,808076000,11955000,1652440000,,288043000,0,0,0,1679653000,840132000,839521000,6157859594,20560000,-2348000,-1348000,-47263000,-17397000,-60346000,-50755000,0,133389000,-1728000,51661000,51661000,51661000,0,0,0.062,327181000,98624000,195159000,0.34,6.335,33.081,32.834,650062000,0,23.805,2.197,2.189,554781000,,839230000,839230000,0,,,,,0,315363000,1.0,258679252,257810000,261226000,3.255,1843558000,58192000,35008000,21316000,7.151,155939000
