,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,STT,MRT,2013-06-30,2013-06-30,2013-06-30,2021-09-10,-523000000,227300000000,218148250000.0,,,0.045,44.41,-440000000,50262000000,50262000000,0,2187000000,,10.319,21370000000,,,21370000000,0,386000000,166520000000,0.015,1.0,2860000000,3246000000,0.331,3246000000,2860000000,2860000000,4.67,4.59,4.67,20081000000,20642000000.0,20081000000,9710486356,3,2.992,795000000,1.758,1.0,9800000000,1.0,8330000000,0,190078000000,184792250000.0,0,138279000000,,,207219000000,,,29740486356,-609000000,-511000000,-2231000000,209000000,-486000000,20723000000,-22567000000,-21729000000,1235000000,0,2148000000,2148000000,2148000000,0,39000000,0.219,6903000000,2897000000,0,0.214,1.481,13.846,13.964,1772000000,0,65.21,3.035,3.009,2055000000,12545000000,9800000000,9800000000,0,0.01,0.104,0.015,0.292,0,4635000000,1.0,456072479,452176000,461040000,21.673,218970000000,0,712000000,0,484.258,
1,STT,MRQ,2013-06-30,2013-06-30,2013-06-30,2021-09-10,-523000000,227300000000,,,,,44.41,-109000000,50262000000,50262000000,0,579000000,,10.319,21370000000,,,21370000000,0,86000000,166520000000,0.015,0.26,754000000,840000000,0.328,840000000,754000000,754000000,1.26,1.24,1.26,20081000000,,20081000000,9710486356,3,2.992,-2252000000,-4.98,1.0,2560000000,1.0,8330000000,0,190078000000,,0,138279000000,,,207219000000,,,29740486356,771000000,0,-551000000,-2447000000,-132000000,8615000000,-5701000000,-5622000000,-2143000000,0,571000000,571000000,571000000,0,8000000,0.223,1798000000,762000000,0,0.206,1.481,13.846,13.964,1772000000,0,65.21,3.035,3.009,2055000000,12545000000,2560000000,2560000000,0,,,,,0,1134000000,1.0,456072479,452176000,461040000,5.662,218970000000,0,183000000,0,484.258,
2,STT,ART,2013-06-30,2013-08-06,2013-06-30,2021-09-10,-523000000,227300000000,218148250000.0,,,0.045,44.41,-440000000,50262000000,50262000000,0,2187000000,,10.319,21370000000,,,21370000000,0,286000000,166520000000,0.014,1.0,2860000000,3146000000,0.321,3146000000,2860000000,2860000000,4.67,4.59,4.67,20081000000,20642000000.0,20081000000,2615938120,1,0.832,688000000,1.522,1.0,9800000000,1.0,8330000000,0,190078000000,184792250000.0,0,138279000000,,,207219000000,,,31507938120,-609000000,-493000000,-1449000000,209000000,-486000000,21511000000,-23248000000,-22428000000,1128000000,0,2148000000,2148000000,2148000000,0,39000000,0.219,6903000000,2897000000,0,0.214,1.569,14.669,15.128,1772000000,0,70.65,3.215,3.26,2055000000,12545000000,9800000000,9800000000,0,0.01,0.104,0.015,0.292,0,4635000000,1.0,445972231,452176000,461040000,21.673,218970000000,0,712000000,0,484.258,
3,STT,ARQ,2013-06-30,2013-08-06,2013-06-30,2021-09-10,-523000000,227300000000,,,,,44.41,-109000000,50262000000,50262000000,0,579000000,,10.319,21370000000,,,21370000000,0,86000000,166520000000,0.014,0.26,754000000,840000000,0.328,840000000,754000000,754000000,1.26,1.24,1.26,20081000000,,20081000000,2615938120,1,0.832,-2369000000,-5.239,1.0,2560000000,1.0,8330000000,0,190078000000,,0,138279000000,,,207219000000,,,31507938120,771000000,18000000,-452000000,-2447000000,-132000000,8714000000,-5683000000,-5622000000,-2260000000,0,571000000,571000000,571000000,0,8000000,0.223,1798000000,762000000,0,0.206,1.569,14.669,15.128,1772000000,0,70.65,3.215,3.26,2055000000,12545000000,2560000000,2560000000,0,,,,,0,1134000000,1.0,445972231,452176000,461040000,5.662,218970000000,0,183000000,0,484.258,
