,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,FMY1,MRT,1998-12-31,1999-01-30,1999-01-30,2018-11-30,0,10151214000,7787075000.0,2451401000,7699813000,1.911,15.257,-656515000,177907000,177907000,10418893000,-162775000,1.086,3.386,5168632000,188059000,4980573000,5168632000,0,415297000,0,0.0,0.0,344705000,760002000,0.051,760002000,344705000,-33531000,-1.07,-1.02,-1.07,2314405000,2008382500.0,2314405000,14819902563,43,19.5,71386000,0.471,1.0,4459878000,0.3,3791334000,378236000,9092722000,7106474000.0,1820186000,0,0,0,7836809000,2257883000,5578926000,9698100563,60596000,-86440000,69331000,-18557000,0,56509000,-723814000,0,727901000,0,-162775000,-162775000,-162775000,0,0,-0.011,3897226000,562652000,1140386000,0.0,4.19,-59.58,-58.411,3449586000,0,62.5,0.652,0.637,126315000,368601000,14878771000,14878771000,0,-0.021,-0.081,0.049,0.023,0,3536104000,1.0,155169609,151699000,160218000,98.081,6359880000,531494000,129244000,0,41.924,193518000
1,FMY1,MRQ,1998-12-31,1999-01-30,1999-01-30,2018-11-30,0,10151214000,,2451401000,7699813000,,14.932,-181927000,177907000,177907000,2669621000,85630000,1.086,3.386,5168632000,188059000,4980573000,5168632000,0,79092000,0,0.0,0.0,261454000,340546000,0.088,340546000,261454000,167938000,0.58,0.63,0.58,2314405000,,2314405000,14819902563,43,19.5,88670000,0.572,1.0,1186679000,0.308,3791334000,93516000,9092722000,,1820186000,0,0,0,7836809000,2257883000,5578926000,9698100563,-8138000,20888000,9954000,-244144000,0,-163933000,-114802000,0,270597000,0,85630000,85630000,85630000,0,0,0.022,925212000,261467000,1140386000,0.0,4.19,-59.58,-58.411,3449586000,0,62.5,0.652,0.637,126315000,368601000,3856300000,3856300000,0,,,,,0,867798000,1.0,155169609,154993000,189069000,24.88,6359880000,531494000,82308000,0,41.033,193518000
2,FMY1,ART,1998-12-31,1999-04-15,1999-01-30,2018-11-30,0,10151214000,10022912750.0,2451401000,7699813000,1.484,15.257,-656515000,177907000,177907000,10418893000,-162775000,1.086,3.386,5168632000,188059000,4980573000,5168632000,0,415297000,0,0.0,0.0,344705000,760002000,0.051,760002000,344705000,-33531000,-1.07,-1.02,-1.07,2314405000,2163277500.0,2314405000,13943300885,40,18.346,71386000,0.471,1.0,4459878000,0.3,3791334000,378236000,9092722000,9086323500.0,1820186000,0,0,0,7836809000,2257883000,5578926000,8952575885,60596000,-86440000,69331000,-18557000,0,56509000,-723814000,0,727901000,0,-162775000,-162775000,-162775000,0,0,-0.011,3897226000,562652000,1140386000,0.0,3.868,-55.0,-53.621,3449586000,0,57.375,0.602,0.585,126315000,368601000,14878771000,14878771000,0,-0.016,-0.075,0.038,0.023,0,3536104000,1.0,156036181,151699000,160218000,98.081,6359880000,531494000,129244000,0,41.924,193518000
3,FMY1,ART,1998-12-31,1999-03-05,1998-11-07,2018-11-30,0,10294660000,8592810750.0,2595752000,7698908000,1.5,14.068,-522121000,186045000,186045000,9051219000,-222728000,1.065,3.731,5307847000,134650000,5173197000,5307847000,0,386609000,0,0.0,0.0,156950000,543559000,0.042,543559000,156950000,-156834000,-1.43,-1.44,-1.43,2176218000,1922320000.0,2176218000,14829600663,94,27.282,27213000,0.176,1.0,3841016000,0.298,3684442000,313784000,9295442000,7909500500.0,2007875000,0,0,0,8118442000,2436578000,5681864000,9707798663,23968000,-107169000,61503000,139145000,0,136813000,-662179000,0,549334000,0,-222728000,-222728000,-222728000,0,0,-0.017,3466132000,374884000,1294311000,0.0,4.461,-43.586,-43.75,3570974000,0,62.563,0.753,0.751,140291000,282706000,12892235000,12892235000,0,-0.026,-0.116,0.02,0.012,0,3061504000,1.0,155169609,154690000,162127000,83.342,6610218000,473574000,65894000,0,42.732,159174000
4,FMY1,ART,1998-12-31,1998-12-22,1998-11-07,2018-11-30,0,10311977000,8592810750.0,2613069000,7698908000,1.5,13.894,-522121000,186045000,186045000,9051219000,-222728000,1.053,3.798,5307847000,134650000,5173197000,5307847000,0,386609000,0,0.0,0.0,156950000,543559000,0.042,543559000,156950000,-156834000,-1.43,-1.44,-1.43,2149247000,1922320000.0,2149247000,13820998205,88,25.427,27213000,0.176,1.0,3841016000,0.298,3684442000,313784000,9268471000,7909500500.0,2007875000,0,0,0,8162730000,2480866000,5681864000,8699196205,23968000,-107169000,61503000,139145000,0,136813000,-662179000,0,549334000,0,-222728000,-222728000,-222728000,0,0,-0.017,3466132000,374884000,1294311000,0.0,4.048,-39.057,-39.205,3570974000,0,56.063,0.675,0.673,140291000,255735000,12892235000,12892235000,0,-0.026,-0.116,0.02,0.012,0,3061504000,1.0,155169609,154690000,162127000,83.342,6627535000,490891000,65894000,0,42.844,132203000
5,FMY1,ARQ,1998-12-31,1999-04-15,1999-01-30,2018-11-30,0,10151214000,,2451401000,7699813000,,14.932,-181927000,177907000,177907000,2669621000,85630000,1.086,3.386,5168632000,188059000,4980573000,5168632000,0,79092000,0,0.0,0.0,261454000,340546000,0.088,340546000,261454000,167938000,0.58,0.63,0.58,2314405000,,2314405000,13943300885,40,18.346,88670000,0.572,1.0,1186679000,0.308,3791334000,93516000,9092722000,,1820186000,0,0,0,7836809000,2257883000,5578926000,8952575885,-8138000,20888000,9954000,-244144000,0,-163933000,-114802000,0,270597000,0,85630000,85630000,85630000,0,0,0.022,925212000,261467000,1140386000,0.0,3.868,-55.0,-53.621,3449586000,0,57.375,0.602,0.585,126315000,368601000,3856300000,3856300000,0,,,,,0,867798000,1.0,156036181,154993000,189069000,24.88,6359880000,531494000,82308000,0,41.033,193518000
6,FMY1,ARQ,1998-12-31,1999-03-05,1998-11-07,2018-11-30,0,10294660000,,2595752000,7698908000,,14.068,-198304000,186045000,186045000,2434961000,28840000,1.065,3.731,5307847000,134650000,5173197000,5307847000,0,101029000,0,0.0,0.0,153556000,254585000,0.073,254585000,153556000,60611000,0.19,0.18,0.19,2176218000,,2176218000,14829600663,94,27.282,-62623000,-0.405,1.0,1042130000,0.3,3684442000,92945000,9295442000,,2007875000,0,0,0,8118442000,2436578000,5681864000,9707798663,20090000,-144237000,9195000,248040000,0,254634000,-370225000,0,135681000,0,28840000,28840000,28840000,0,0,0.008,888250000,153880000,1294311000,0.0,4.461,-43.586,-43.75,3570974000,0,62.563,0.753,0.751,140291000,282706000,3477091000,3477091000,0,,,,,0,833836000,1.0,155169609,154690000,162127000,22.478,6610218000,473574000,31771000,0,42.732,159174000
7,FMY1,ARQ,1998-12-31,1998-12-22,1998-11-07,2018-11-30,0,10311977000,,2613069000,7698908000,,13.894,-198304000,186045000,186045000,2432708000,28840000,1.053,3.798,5307847000,134650000,5173197000,5307847000,0,101029000,0,0.0,0.0,153556000,254585000,0.073,254585000,153556000,60611000,0.19,0.18,0.19,2149247000,,2149247000,13820998205,88,25.427,-62623000,-0.405,1.0,1044383000,0.3,3684442000,92945000,9268471000,,2007875000,0,0,0,8162730000,2480866000,5681864000,8699196205,20090000,-144237000,9195000,248040000,0,254634000,-370225000,0,135681000,0,28840000,28840000,28840000,0,0,0.008,890503000,153880000,1294311000,0.0,4.048,-39.057,-39.205,3570974000,0,56.063,0.675,0.673,140291000,255735000,3477091000,3477091000,0,,,,,0,833836000,1.0,155169609,154690000,162127000,22.478,6627535000,490891000,31771000,0,42.844,132203000
